rel_paths	fnames	last_mc	last_mn	length_qb	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	TimeSig	KeySig	label_count	annotated_key	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	musescore	ambitus	composed_end	composed_start	originalFormat	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument
ancient	12.16_Toccata_cromaticha_per_l’elevatione_phrygian	53	53	424.0	424.0	1447.0	528	298	1: 4/2	1: 0	199	e	Girolamo Frescobaldi	La Messa della Domenica							1635	2019-05-03	3.02	Microsoft Windows			3.6.2	41-76 (F2-E5)	1635	1635		54-76 (F#3-E5)	Organ	41-66 (F2-F#4)	Organ
baroque	BWV_0815	215	234	683.0	1346.0	1489.17	2825	1956	1: 4/4, 23: 3/4, 85: 2/2, 112: 3/4, 131: 4/4, 156: 6/8	1: -3	0											2020-05-07	3.02	Linux			3.6.2	36-84 (C2-C6)			capx	51-84 (Eb3-C6)	Klavier linke Hand	36-70 (C2-Bb4)	Klavier linke Hand
classic	K281-3	163	162	648.0	712.0	1443.67	2057	1295	1: 2/2	1: -2	375	Bb	Wolfgang Amadeus Mozart	Piano Sonata no. 3 in B flat major	3	Rondeau – Allegro	K281					2017-12-05	3.02	Apple Macintosh	http://www.tobis-notenarchiv.de/mozart/KV_281_3.cap		3.6.2	38-89 (D2-F6)			cap	62-89 (D4-F6)	Klavier linke Hand	38-77 (D2-F5)	Klavier linke Hand
classic/compressed	K281-3	163	162	648.0	712.0	1443.67	2057	1295	1: 2/2	1: -2	375	Bb	Wolfgang Amadeus Mozart	Piano Sonata no. 3 in B flat major	3	Rondeau – Allegro	K281					2017-12-05	3.02	Apple Macintosh	http://www.tobis-notenarchiv.de/mozart/KV_281_3.cap		3.6.2	38-89 (D2-F6)			cap	62-89 (D4-F6)	Klavier linke Hand	38-77 (D2-F5)	Klavier linke Hand
nineteenth	D973deutscher01	21	18	57.0	106.25	164.25	190	83	1: 3/4	1: 4	0		Franz Schubert	Deutscher Nr. 1								2019-09-11	3.02	Linux			3.6.2	30-83 (F#1-B5)				58-83 (A#3-B5)	Piano	30-69 (F#1-A4)	Piano
